time,altitude,velocity,acceleration,drag coefficient
0,0,0,22.722,1.4051
0.01,0.0011361,0.22722,114.3,0.93571
0.02,0.0091249,1.3706,117.02,0.63328
0.03,0.028685,2.5415,118.9,0.56797
0.04,0.060048,3.7312,119.58,0.53357
0.05,0.10334,4.9277,119.05,0.51111
0.06,0.15857,6.1189,118.52,0.49489
0.07,0.22569,7.3048,117.99,0.48238
0.08,0.30464,8.4853,117.46,0.4723
0.09,0.39537,9.6606,116.92,0.46392
0.1,0.49782,10.83,116.39,0.4568
0.11,0.61195,11.995,115.85,0.45063
0.12,0.7377,13.154,115.31,0.44598
0.13,0.875,14.308,114.77,0.44196
0.14,1.0238,15.456,114.23,0.43836
0.15,1.1841,16.599,113.68,0.4351
0.16,1.3558,17.736,113.14,0.43214
0.17,1.5388,18.868,112.59,0.42944
0.18,1.7331,19.995,112.04,0.42695
0.19,1.9387,21.116,111.66,0.42465
0.2,2.1554,22.233,112.33,0.42251
0.21,2.3834,23.357,113.18,0.42051
0.22,2.6226,24.489,114.02,0.41861
0.235,3.0028,26.203,115.46,0.41596
0.2575,3.6216,28.805,114.96,0.41236
0.29125,4.6592,32.681,113.76,0.40777
0.34125,6.4357,38.383,114.38,0.40229
0.39125,8.4981,44.115,111.88,0.39891
0.44125,10.844,49.72,111.81,0.39966
0.49125,13.47,55.322,112.28,0.4005
0.54125,16.377,60.946,112.72,0.40144
0.59125,19.565,66.592,112.94,0.40248
0.64125,23.036,72.248,112.76,0.40362
0.69125,26.79,77.895,112.55,0.40486
0.74125,30.825,83.531,112.31,0.40619
0.79125,35.142,89.153,111.87,0.40761
0.84125,39.74,94.753,111.27,0.40914
0.89125,44.617,100.32,110.64,0.41075
0.94125,49.772,105.86,109.98,0.41246
0.99125,55.202,111.36,109.29,0.41426
1.0413,60.907,116.83,108.59,0.41615
1.0913,66.884,122.26,107.99,0.41814
1.1413,73.133,127.67,107.38,0.42022
1.1913,79.65,133.04,106.74,0.4224
1.2413,86.436,138.37,105.98,0.42467
1.2913,93.487,143.67,104.83,0.42704
1.3413,100.8,148.91,103.6,0.42949
1.3913,108.38,154.09,102.34,0.43203
1.4413,116.21,159.2,101.05,0.43466
1.4913,124.3,164.25,99.756,0.43736
1.5413,132.63,169.24,98.491,0.44015
1.5913,141.22,174.16,97.196,0.44303
1.6413,150.05,179.01,95.869,0.44599
1.6913,159.12,183.79,94.514,0.44903
1.7413,168.42,188.51,92.779,0.45215
1.7913,177.97,193.14,90.506,0.45535
1.8413,187.74,197.66,88.406,0.45859
1.8913,197.73,202.07,87.407,0.46189
1.9413,207.94,206.43,86.548,0.46529
1.9913,218.37,210.74,82.53,0.46879
2.0413,229.01,214.86,74.317,0.47226
2.0913,239.85,218.56,63.025,0.47551
2.1413,250.85,221.7,49.125,0.47837
2.1913,262,224.15,38.186,0.48066
2.2413,273.26,226.05,28.121,0.48249
2.2913,284.59,227.45,20.835,0.48387
2.3412,295.99,228.49,13.954,0.48491
2.3912,307.43,229.18,7.2963,0.48562
2.4412,318.9,229.55,0.83639,0.48602
2.4912,330.38,229.59,-5.5519,0.48609
2.5412,341.85,229.32,-11.816,0.48585
2.5912,353.3,228.73,-17.149,0.4853
2.6412,364.72,227.88,-22.107,0.48449
2.6912,376.09,226.78,-26.233,0.48345
2.7412,387.39,225.48,-28.962,0.48223
2.7912,398.63,224.04,-29.776,0.48089
2.8412,409.8,222.56,-30.387,0.47953
2.8912,420.89,221.05,-30.995,0.47817
2.9412,431.9,219.51,-31.601,0.4768
2.9912,442.84,217.94,-31.861,0.47542
3.0412,453.69,216.36,-31.472,0.47405
3.0912,464.47,214.8,-31.077,0.47271
3.1412,475.17,213.25,-30.692,0.47141
3.1912,485.8,211.73,-30.317,0.47015
3.2412,496.35,210.22,-29.951,0.46892
3.2912,506.82,208.73,-29.596,0.46772
3.3412,517.22,207.26,-29.25,0.46654
3.3912,527.55,205.81,-28.912,0.4654
3.4412,537.8,204.37,-28.582,0.46429
3.4912,547.98,202.95,-28.261,0.4632
3.5412,558.1,201.54,-27.946,0.46214
3.5912,568.14,200.15,-27.64,0.4611
3.6412,578.11,198.78,-27.34,0.46008
3.6912,588.02,197.42,-27.047,0.45909
3.7412,597.85,196.07,-26.761,0.45812
3.7912,607.62,194.74,-26.481,0.45717
3.8412,617.33,193.43,-26.207,0.45624
3.8912,626.97,192.12,-25.939,0.45534
3.9412,636.54,190.83,-25.677,0.45445
3.9912,646.05,189.55,-25.421,0.45358
4.0412,655.5,188.29,-25.17,0.45272
4.0912,664.88,187.04,-24.924,0.45189
4.1412,674.2,185.8,-24.684,0.45107
4.1912,683.46,184.57,-24.448,0.45027
4.2412,692.66,183.35,-24.218,0.44948
4.2912,701.79,182.15,-23.991,0.44871
4.3412,710.87,180.95,-23.77,0.44795
4.3912,719.89,179.77,-23.553,0.44721
4.4412,728.85,178.6,-23.34,0.44648
4.4912,737.75,177.44,-23.131,0.44577
4.5412,746.59,176.28,-22.926,0.44506
4.5912,755.38,175.14,-22.726,0.44438
4.6412,764.11,174.01,-22.529,0.4437
4.6912,772.78,172.89,-22.336,0.44303
4.7412,781.4,171.78,-22.146,0.44238
4.7912,789.96,170.68,-21.96,0.44174
4.8412,798.46,169.58,-21.777,0.44111
4.8912,806.92,168.5,-21.598,0.44049
4.9412,815.31,167.42,-21.422,0.43988
4.9912,823.66,166.36,-21.249,0.43928
5.0412,831.95,165.3,-21.079,0.43869
5.0912,840.19,164.25,-20.913,0.43812
5.1412,848.38,163.21,-20.749,0.43755
5.1912,856.51,162.17,-20.588,0.43699
5.2412,864.59,161.15,-20.43,0.43644
5.2912,872.62,160.13,-20.274,0.43589
5.3412,880.61,159.12,-20.122,0.43536
5.3912,888.54,158.12,-19.972,0.43484
5.4412,896.42,157.12,-19.824,0.43432
5.4912,904.25,156.13,-19.679,0.43381
5.5412,912.03,155.15,-19.536,0.43331
5.5912,919.76,154.18,-19.396,0.43282
5.6412,927.45,153.21,-19.258,0.43233
5.6912,935.09,152.26,-19.122,0.43185
5.7412,942.67,151.3,-18.989,0.43138
5.7912,950.22,150.36,-18.857,0.43092
5.8412,957.71,149.42,-18.728,0.43046
5.8912,965.16,148.48,-18.601,0.43001
5.9412,972.56,147.56,-18.476,0.42957
5.9912,979.91,146.64,-18.353,0.42913
6.0412,987.22,145.72,-18.231,0.4287
6.0912,994.49,144.81,-18.112,0.42827
6.1412,1001.7,143.91,-17.995,0.42785
6.1912,1008.9,143.01,-17.879,0.42744
6.2412,1016,142.12,-17.766,0.42703
6.2912,1023.1,141.24,-17.654,0.42663
6.3412,1030.1,140.36,-17.544,0.42623
6.3912,1037.1,139.48,-17.435,0.42584
6.4412,1044.1,138.61,-17.328,0.42546
6.4912,1051,137.75,-17.223,0.42508
6.5412,1057.9,136.89,-17.119,0.4247
6.5912,1064.7,136.04,-17.017,0.42433
6.6412,1071.5,135.19,-16.916,0.42397
6.6912,1078.2,134.35,-16.817,0.42361
6.7412,1084.9,133.51,-16.719,0.42325
6.7912,1091.5,132.67,-16.623,0.4229
6.8412,1098.2,131.85,-16.528,0.42256
6.8912,1104.7,131.02,-16.435,0.42221
6.9412,1111.3,130.2,-16.342,0.42188
6.9912,1117.8,129.39,-16.251,0.42154
7.0412,1124.2,128.58,-16.162,0.42122
7.0912,1130.6,127.77,-16.073,0.42089
7.1412,1137,126.97,-15.986,0.42057
7.1912,1143.3,126.17,-15.9,0.42026
7.2412,1149.6,125.38,-15.815,0.41994
7.2912,1155.8,124.59,-15.732,0.41964
7.3412,1162.1,123.81,-15.649,0.41933
7.3912,1168.2,123.03,-15.568,0.41903
7.4412,1174.4,122.25,-15.488,0.41873
7.4912,1180.4,121.48,-15.409,0.41844
7.5412,1186.5,120.71,-15.331,0.41815
7.5912,1192.5,119.94,-15.254,0.41786
7.6412,1198.5,119.18,-15.178,0.41758
7.6912,1204.4,118.43,-15.103,0.4173
7.7412,1210.3,117.67,-15.029,0.41703
7.7912,1216.2,116.92,-14.956,0.41675
7.8412,1222,116.18,-14.884,0.41649
7.8912,1227.8,115.43,-14.813,0.41622
7.9412,1233.6,114.7,-14.743,0.41596
7.9912,1239.3,113.96,-14.674,0.4157
8.0412,1245,113.23,-14.606,0.41544
8.0912,1250.6,112.5,-14.538,0.41519
8.1412,1256.2,111.77,-14.472,0.41494
8.1912,1261.8,111.05,-14.406,0.41469
8.2412,1267.3,110.33,-14.341,0.41444
8.2912,1272.8,109.62,-14.277,0.4142
8.3412,1278.3,108.91,-14.214,0.41396
8.3912,1283.7,108.2,-14.152,0.41373
8.4412,1289.1,107.49,-14.09,0.41349
8.4912,1294.5,106.79,-14.03,0.41326
8.5412,1299.8,106.09,-13.97,0.41303
8.5912,1305.1,105.39,-13.91,0.41281
8.6412,1310.3,104.7,-13.852,0.41258
8.6912,1315.5,104.01,-13.794,0.41236
8.7412,1320.7,103.32,-13.737,0.41214
8.7912,1325.9,102.63,-13.681,0.41193
8.8412,1331,101.95,-13.625,0.41172
8.8912,1336.1,101.27,-13.571,0.4115
8.9412,1341.1,100.59,-13.516,0.4113
8.9912,1346.1,99.918,-13.463,0.41109
9.0412,1351.1,99.246,-13.41,0.41089
9.0912,1356.1,98.577,-13.358,0.41068
9.1412,1361,97.91,-13.306,0.41048
9.1912,1365.8,97.246,-13.255,0.41029
9.2412,1370.7,96.584,-13.205,0.41009
9.2912,1375.5,95.925,-13.155,0.4099
9.3412,1380.3,95.269,-13.106,0.40971
9.3912,1385,94.615,-13.058,0.40952
9.4412,1389.7,93.963,-13.01,0.40933
9.4913,1394.4,93.314,-12.962,0.40915
9.5413,1399.1,92.667,-12.916,0.40897
9.5913,1403.7,92.022,-12.869,0.40879
9.6413,1408.3,91.38,-12.824,0.40861
9.6913,1412.8,90.74,-12.779,0.40843
9.7413,1417.4,90.102,-12.734,0.40826
9.7913,1421.8,89.466,-12.69,0.40808
9.8413,1426.3,88.833,-12.647,0.40791
9.8913,1430.7,88.202,-12.604,0.40775
9.9413,1435.1,87.573,-12.561,0.40758
9.9913,1439.5,86.946,-12.52,0.40741
10.041,1443.8,86.321,-12.478,0.40725
10.091,1448.1,85.698,-12.437,0.40709
